Serial No,Category,Name,Specification,Link
1,Handbags,PU Women's Pink Handbag Handbags for women stylish,,https://www.amazon.in/Fargo-Womens-Handbag-Handbags-stylish/dp/B0D8BQTJ3M/ref=sr_1_5?crid=1Q8SEMBUMIYEJ&dib=eyJ2IjoiMSJ9.NeeTpXwePZgcV2Qb_7Tbgl8UFaWpKJjmvll3WhigW3h80pImiiihVgMaB88wOXtCoVU7hxHIq3maFMf-VAhd3_hGJOmaKPvdHm1YsgzZSC61rXjT1SaSyWqBOiT4-M8kvbxgci9os82iyPr0AC6csnjv6w5ucrAVR-MLw_-NsUlWGo2VS5TpXQ5Is23i07ABTYtuHOX2aU0fKahS6th-ZXoMjbxJSILkUVtmfYui79iPfjYakPnILd7pl2132KPPtC0h4eEtTQQE95Cf0waouKLUShjfK3hbLr78sMHHWR8.cretEfLz5lpT94INt1fa4Q-0SqIWvv5_WYkH5JlbRYI&dib_tag=se&keywords=Handbags&qid=1724258768&sprefix=%2Caps%2C181&sr=8-5
2,Handbags,Women's Mono Clair Large Hobo Bag | Ladies Purse Handbag,,https://www.amazon.in/Lavie-Womans-Clair-Ladies-Handbag/dp/B0D83MTRFC/ref=sr_1_6?crid=1Q8SEMBUMIYEJ&dib=eyJ2IjoiMSJ9.NeeTpXwePZgcV2Qb_7Tbgl8UFaWpKJjmvll3WhigW3h80pImiiihVgMaB88wOXtCoVU7hxHIq3maFMf-VAhd3_hGJOmaKPvdHm1YsgzZSC61rXjT1SaSyWqBOiT4-M8kvbxgci9os82iyPr0AC6csnjv6w5ucrAVR-MLw_-NsUlWGo2VS5TpXQ5Is23i07ABTYtuHOX2aU0fKahS6th-ZXoMjbxJSILkUVtmfYui79iPfjYakPnILd7pl2132KPPtC0h4eEtTQQE95Cf0waouKLUShjfK3hbLr78sMHHWR8.cretEfLz5lpT94INt1fa4Q-0SqIWvv5_WYkH5JlbRYI&dib_tag=se&keywords=Handbags&qid=1724258768&sprefix=%2Caps%2C181&sr=8-6
3,Handbags,Handbag For Women And Girls COMBO SET OF 5 (Light5pc),,https://www.amazon.in/Fargo-Handbag-Women-Girls-Light5pc/dp/B09N3K2ZCP/ref=sr_1_7?crid=1Q8SEMBUMIYEJ&dib=eyJ2IjoiMSJ9.NeeTpXwePZgcV2Qb_7Tbgl8UFaWpKJjmvll3WhigW3h80pImiiihVgMaB88wOXtCoVU7hxHIq3maFMf-VAhd3_hGJOmaKPvdHm1YsgzZSC61rXjT1SaSyWqBOiT4-M8kvbxgci9os82iyPr0AC6csnjv6w5ucrAVR-MLw_-NsUlWGo2VS5TpXQ5Is23i07ABTYtuHOX2aU0fKahS6th-ZXoMjbxJSILkUVtmfYui79iPfjYakPnILd7pl2132KPPtC0h4eEtTQQE95Cf0waouKLUShjfK3hbLr78sMHHWR8.cretEfLz5lpT94INt1fa4Q-0SqIWvv5_WYkH5JlbRYI&dib_tag=se&keywords=Handbags&qid=1724258768&sprefix=%2Caps%2C181&sr=8-7
4,Handbags,women's pu leather handbag shoulder bag hand held bag with long strap queen collection simple sober and stylish (HB5),,https://www.amazon.in/leather-handbag-shoulder-collection-stylish/dp/B0CGQVRRXZ/ref=sr_1_8?crid=1Q8SEMBUMIYEJ&dib=eyJ2IjoiMSJ9.NeeTpXwePZgcV2Qb_7Tbgl8UFaWpKJjmvll3WhigW3h80pImiiihVgMaB88wOXtCoVU7hxHIq3maFMf-VAhd3_hGJOmaKPvdHm1YsgzZSC61rXjT1SaSyWqBOiT4-M8kvbxgci9os82iyPr0AC6csnjv6w5ucrAVR-MLw_-NsUlWGo2VS5TpXQ5Is23i07ABTYtuHOX2aU0fKahS6th-ZXoMjbxJSILkUVtmfYui79iPfjYakPnILd7pl2132KPPtC0h4eEtTQQE95Cf0waouKLUShjfK3hbLr78sMHHWR8.cretEfLz5lpT94INt1fa4Q-0SqIWvv5_WYkH5JlbRYI&dib_tag=se&keywords=Handbags&qid=1724258768&sprefix=%2Caps%2C181&sr=8-8
5,Handbags,Fortify Style Women's Fashion Handbag Set Of 3 (Purse," Shoulder Bag, Clutch)",https://www.amazon.in/Fortify-Womens-Fashion-Handbag-Shoulder/dp/B0D8CVPLK5/ref=sr_1_9?crid=1Q8SEMBUMIYEJ&dib=eyJ2IjoiMSJ9.NeeTpXwePZgcV2Qb_7Tbgl8UFaWpKJjmvll3WhigW3h80pImiiihVgMaB88wOXtCoVU7hxHIq3maFMf-VAhd3_hGJOmaKPvdHm1YsgzZSC61rXjT1SaSyWqBOiT4-M8kvbxgci9os82iyPr0AC6csnjv6w5ucrAVR-MLw_-NsUlWGo2VS5TpXQ5Is23i07ABTYtuHOX2aU0fKahS6th-ZXoMjbxJSILkUVtmfYui79iPfjYakPnILd7pl2132KPPtC0h4eEtTQQE95Cf0waouKLUShjfK3hbLr78sMHHWR8.cretEfLz5lpT94INt1fa4Q-0SqIWvv5_WYkH5JlbRYI&dib_tag=se&keywords=Handbags&qid=1724258768&sprefix=%2Caps%2C181&sr=8-9
6,Handbags,Women's Mono Beech Flap Satchel Bag | Ladies Purse Handbag,,https://www.amazon.in/Lavie-Womens-Satchel-Ladies-Handbag/dp/B0D2DMQXSY/ref=sr_1_10?crid=1Q8SEMBUMIYEJ&dib=eyJ2IjoiMSJ9.NeeTpXwePZgcV2Qb_7Tbgl8UFaWpKJjmvll3WhigW3h80pImiiihVgMaB88wOXtCoVU7hxHIq3maFMf-VAhd3_hGJOmaKPvdHm1YsgzZSC61rXjT1SaSyWqBOiT4-M8kvbxgci9os82iyPr0AC6csnjv6w5ucrAVR-MLw_-NsUlWGo2VS5TpXQ5Is23i07ABTYtuHOX2aU0fKahS6th-ZXoMjbxJSILkUVtmfYui79iPfjYakPnILd7pl2132KPPtC0h4eEtTQQE95Cf0waouKLUShjfK3hbLr78sMHHWR8.cretEfLz5lpT94INt1fa4Q-0SqIWvv5_WYkH5JlbRYI&dib_tag=se&keywords=Handbags&qid=1724258768&sprefix=%2Caps%2C181&sr=8-10
7,Handbags,Women's Mono Betula Tote Bag | Ladies Purse Handbag,,https://www.amazon.in/Lavie-Womens-Betula-Medium-Handbag/dp/B0D2DMXPJX/ref=sr_1_11?crid=1Q8SEMBUMIYEJ&dib=eyJ2IjoiMSJ9.NeeTpXwePZgcV2Qb_7Tbgl8UFaWpKJjmvll3WhigW3h80pImiiihVgMaB88wOXtCoVU7hxHIq3maFMf-VAhd3_hGJOmaKPvdHm1YsgzZSC61rXjT1SaSyWqBOiT4-M8kvbxgci9os82iyPr0AC6csnjv6w5ucrAVR-MLw_-NsUlWGo2VS5TpXQ5Is23i07ABTYtuHOX2aU0fKahS6th-ZXoMjbxJSILkUVtmfYui79iPfjYakPnILd7pl2132KPPtC0h4eEtTQQE95Cf0waouKLUShjfK3hbLr78sMHHWR8.cretEfLz5lpT94INt1fa4Q-0SqIWvv5_WYkH5JlbRYI&dib_tag=se&keywords=Handbags&qid=1724258768&sprefix=%2Caps%2C181&sr=8-11
8,Handbags,Handcrafted Women's Tote Bag with Vegan Leather Handles & Indian Prints, Shoulder Tote Bag and Handbag for Office and College (Pack of 1),https://www.amazon.in/Purple-Tree-Handcrafted-Shoulder-Oversized/dp/B0C9V6CJ9B/ref=sr_1_12?crid=1Q8SEMBUMIYEJ&dib=eyJ2IjoiMSJ9.NeeTpXwePZgcV2Qb_7Tbgl8UFaWpKJjmvll3WhigW3h80pImiiihVgMaB88wOXtCoVU7hxHIq3maFMf-VAhd3_hGJOmaKPvdHm1YsgzZSC61rXjT1SaSyWqBOiT4-M8kvbxgci9os82iyPr0AC6csnjv6w5ucrAVR-MLw_-NsUlWGo2VS5TpXQ5Is23i07ABTYtuHOX2aU0fKahS6th-ZXoMjbxJSILkUVtmfYui79iPfjYakPnILd7pl2132KPPtC0h4eEtTQQE95Cf0waouKLUShjfK3hbLr78sMHHWR8.cretEfLz5lpT94INt1fa4Q-0SqIWvv5_WYkH5JlbRYI&dib_tag=se&keywords=Handbags&qid=1724258768&sprefix=%2Caps%2C181&sr=8-12
9,Handbags,Women's Vegan Leather Style Diva Handbags Shoulder Hobo Bag Ladies Purse (Large),,https://www.amazon.in/Fostelo-Style-Diva-Womens-Handbag/dp/B00Z0NMFKU/ref=sr_1_13?crid=1Q8SEMBUMIYEJ&dib=eyJ2IjoiMSJ9.NeeTpXwePZgcV2Qb_7Tbgl8UFaWpKJjmvll3WhigW3h80pImiiihVgMaB88wOXtCoVU7hxHIq3maFMf-VAhd3_hGJOmaKPvdHm1YsgzZSC61rXjT1SaSyWqBOiT4-M8kvbxgci9os82iyPr0AC6csnjv6w5ucrAVR-MLw_-NsUlWGo2VS5TpXQ5Is23i07ABTYtuHOX2aU0fKahS6th-ZXoMjbxJSILkUVtmfYui79iPfjYakPnILd7pl2132KPPtC0h4eEtTQQE95Cf0waouKLUShjfK3hbLr78sMHHWR8.cretEfLz5lpT94INt1fa4Q-0SqIWvv5_WYkH5JlbRYI&dib_tag=se&keywords=Handbags&qid=1724258768&sprefix=%2Caps%2C181&sr=8-13
10,Handbags,PU Leather Hand Bag for Women Shoulder Bags for Women with Strap and Zipper Ladies Purse for Birthday Anniversary Thanksgiving Purse and Handbag Combo,,https://aax-eu.amazon.in/x/c/JEUvhLimxh1R02ch4tyPcW0AAAGRddTWwwMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICBgwOVp/https://www.amazon.in/HUGGI-leather-shoulder-birthday-anniversary/dp/B0CG3MXQ7P/ref=sxin_23_sbv_search_btf?content-id=amzn1.sym.288d7cd9-bdfb-4778-882a-c15de0f76151%3Aamzn1.sym.288d7cd9-bdfb-4778-882a-c15de0f76151&crid=1Q8SEMBUMIYEJ&cv_ct_cx=Handbags&dib=eyJ2IjoiMSJ9.ipTVjoTwEXIClMABgw3xQQ.hP1qIouRmXluOjMk6vZxtGM2Py6EoniQw5E0KexmI40&dib_tag=se&keywords=Handbags&pd_rd_i=B0CG3MXQ7P&pd_rd_r=569a4c85-f91a-4fe3-b0c2-7c15985f0aa2&pd_rd_w=mVqTe&pd_rd_wg=32vX0&pf_rd_p=288d7cd9-bdfb-4778-882a-c15de0f76151&pf_rd_r=KZ4ACNWR5QDM7BWBVTXY&qid=1724258768&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=%2Caps%2C181&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81
